Рыба,Локация,Наживка,Расстояние,Цена,Мин. вес (кг),Макс. вес (кг),Автор,Дата,Примечание
Японский Речной Угорь,Река Исикари,Живец,3 м,,4.284,4.35,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Язь,Белые скалы,Манка,14.0 м,,4.141,6.1,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #4.1
Виена,Луна,Спиннинг: Predator Pro,,,10.202,200.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Газилиус,Луна,Спиннинг: Predator Pro,,,74.664,200.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Зой,Луна,Спиннинг: Master,,,56.845,130.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #5.1
Карин,Луна,Спиннинг: Predator Pro,,,20.697,112.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Кинста,Луна,Спиннинг: Big Hunter,,,3.712,44.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Панзерус,Луна,Спиннинг: Shake Head,,,7.839,80.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Скрумпер,,,,,117.226,200.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,"В скриншоте указано только ""2200"", контекст не ясен"
Трафальгар,,Спиннинг: Shake Head,,,28.569,52.0,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Елец,Белые скалы,Муха,,,0.632,0.65,Имя Фамилия,15.08.2022,
Щука Травянка (для фарма серебра),Белые скалы,Муха,3 м,,0.75,3.15,Александр Красюков,15.08.2022,Крючок тип 3.1 (грузоподъёмность до 64 кг); снасть с нагрузкой от 9 кг
Налим,Пещера Пашабей / Каменный берег,Кусок рыбы (на Каменном берегу),,,13.406,18.2,Александр Красюков,18.08.2022,"Хорошо идёт опыт и серебро; на Каменном берегу нужны снасти с нагрузкой от 40+кг и топовый крючок за золото (от 12кг); осторожно — можно встретить Каменного Призрака и потерять снасти, если они не топовые"
Сиг,Долина камней / Каменный берег,Живец маленький,5 м,,6.354,6.6,Андрей Черкесов,19.08.2022,"Крючок 1.1 (на Долине камней); на Каменном берегу так же, крючок 1.1–3.4"
Сом,Изумрудное озеро,Воблеры,,,4.003,200.0,Stranniy Leshiy,26.08.2022,
"Щука Травянка (фарм серебра/опыта, вариант 3)",Изумрудное озеро,Наживка-рыба (~55 монет),,200-250 монет за рыбу,0.75,3.15,Владислав Напалков,26.08.2022,"Крючок небольшой, до 4 кг; клюют только щуки травянки"
Глазорвач,Руины,Икра + Кровь (прикормка),4 м,,1.418,21.6,Владислав Напалков,31.08.2022,Крючок 3.3; в посте приложен скриншот пойманной рыбы
Каменный призрак,,Перловка (без крови),5 м,,30.266,67.0,Олег Исаев,06.09.2022,"Снасть до 30 кг; вываживание заняло 14 минут; проблемная, но добычливая рыба; энергетик (напиток) помогает с поклёвкой"
Чёрный Краппи (доп. данные),Река Колорадо,Креветка,9 м,200-250 монет за рыбу,1.279,2.7,Олег Исаев,06.09.2022,"Хорошо для фарма серебра и опыта — рыбка небольшая, влезает много поклёвок"
Сиг (подтверждение),Каменный берег,Живец маленький,,,6.354,6.6,Олег Шутов,07.09.2022,
Налим (доп. данные),Каменный берег,Маленький живец,9 м,,13.406,18.2,Олег Исаев,16.09.2022,Крючок 5.1; хорошо для фарма опыта
Щука Травянка (доп. подтверждение),Каменный берег,Муха,3 м,,0.75,3.15,Олег Исаев,16.09.2022,Крючок 4.1; хорошо для фарма серебра; опасность — Каменный призрак может порвать снасти
Глазорвач (доп. подтверждение),Руины,Любая наживка + кровь (обязательно),,,1.418,21.6,Олег Исаев,18.09.2022,"Берёт на любую приманку, если добавлена кровь"
Рыба Капля,Озеро Вабакими,Сыр,3 м,,9.202,47.0,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.3; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Раптор,Амазонка,Креветка,3 м,,2.316,12.0,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Ротан,Затерянное озеро,Муха,3 м,,0.22,0.22,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 1.1 (1/2); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Рыба Гитара,Гао Ту,Рак,10 м,,63.06,200.0,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2 (1/2); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Стерлядь,Долина камней,Маленький живец,7 м,,17.185,17.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Скорпена,Райский остров,Креветка,3 м,,1.282,1.3,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 2.3 (1/4); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Сом Амурский,Река Таби,Живец маленький,6 м,,6.254,8.7,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Сазан,Озеро Вабакими,Тесто,15 м,,9.419,19.3,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Синец,Изумрудное озеро,Сыр,3 м,,1.577,1.6,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 1.0; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Судак,Река Колорадо,Кусок рыбы,15 м,,20.721,21.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Толстолобик,Каменный берег,Горох,5.5 м,,10.202,52.0,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Усач Обыкновенный,Река Клаус,Сыр,15 м,,0.799,11.8,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Шип (доп. вариант),Озеро Тахо,Живец средний,10.6 м,,34.14,35,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2 (1/4); альтернатива варианту ""Залив Кристалино""; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Щука Маскинонг (доп. вариант),Озеро Дайл,Живец большой,15 м,,4.299,32.8,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.2 (1/2); альтернатива наживке ""лягушка""; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Щука Амурская (доп. вариант),Река Таби,Живец средний,8.2 м,,20.27,21,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2 (1/2); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Арапайма,Река Амазонка,По дну (спец. наживка Magallon),,,192.108,200,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Амия,Река Клаус,Личинка майского жука,4.3 м,,9.433,9.8,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Американский Сомик,Озеро Вабакими,Медведка,3 м,,,,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Амур Белый,Озеро Бездонное,Горох,5.4 м,,42.507,44.0,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Амур Чёрный,Река Колорадо,Кусок рыбы,3 м,,5.847,32.5,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.4 (уточнить); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Белоглазка,Озеро Бездонное,Опарыш,3 м,,0.911,1.5,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Белорыбица,Река Таби,Кузнечик,15 м,,14.817,14.9,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Большеротый Буффало,Озеро Дайл,Личинка короеда,7.1 м,,45.784,46.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Большеротый Окунь,Река Клаус,Живец средний,15 м,,,,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Берш,Затерянное озеро,Кузнечик,4.9 м,,0.986,3.1,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Белый Лопатонос,Озеро Дайл,Сверчок,4 м,,38.689,40,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Ёрш Полосатый,Озеро Кускон,Мотыль,3 м,,0.245,0.25,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 1.4; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Ёрш Обыкновенный,Затерянное озеро,Икра,3 м,,0.23,0.23,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 1.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Европейская Ряпушка,Изумрудное озеро,Мотыль,3.8 м,,0.31,0.31,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 1.1 (1/2); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Испанская Макрель,Пещера Пашабей,Кальмар,4.3 м,,6.186,6.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.3; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Краснобрюхая Пиранья,Река Амазонка,Креветка,3 м,,3.898,3.9,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Карась Серебрянный,Изумрудное озеро,Хлеб,5.2 м,,1.942,2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 2.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Карась Обыкновенный,Озеро Савай,Хлеб,4.5 м,,2.009,3.5,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.1 (уточнить); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Краснопёрка,Озеро Кускон,Горох,3.7 м,,1.566,1.9,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Китайский Окунь,Река Габи/Таби (неточно),Креветка,9.6 м,,3.656,8.0,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.1; локация распознана неуверенно; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Корифена Большая,Пещера Пашабей,Рак,9.5 м,,40.653,41,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.4; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Линь,Река Клаус,Медведка,7 м,,7.602,7.9,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Морской Окунь,Гао Ту,Мидия,5.6 м,,20.802,21,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Миссисипский Панцирник,Озеро Дайл,Живец большой,5.2 м,,131.952,132,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Обыкновенный Таймень,Долина камней,Средний живец,6.1 м,,87.07,89,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Осман,Озеро Тихое,Червь,3 м,,1.191,1.24,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 2.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Обыкновенный Подуст,Река Горбыль,Опарыш,3 м,,2.171,2.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1 (1/2); OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Обыкновенный Валёк,Река Горбыль,Опарыш,3 м,,2.002,2.1,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 3.1 (1/2); возможно совпадение с Обыкновенным Подустом — стоит проверить; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Полосатая Зубатка,Ледник,Средний живец,4.4 м,,12.989,24.1,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Полосатый Лаврак,Гао Ту,Креветка,12.5 м,,55.461,58,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Павлиний Басс,Пещера Пашабей,Креветка,4.2 м,,13.028,13.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 6.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Пелядь,Затерянное озеро,Опарыш,3 м,,1.174,4.9,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 4.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Подлещик,Озеро Кускон,Хлеб,3 м,,1.533,1.55,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 2.2; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Пескарь,Озеро Вабакими,Хлеб,3 м,,0.181,0.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 1.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Пайяра,Река Амазонка,Живец большой,6.6 м,,17.865,18.2,Дмитрий Харин (скриншот таблицы «Список рыб»),17.07.2022,"Крючок 5.1; OCR-распознавание скриншота, возможны небольшие неточности в цифрах"
Рыба Капля (доп. подтверждение),Озеро Вабакими,Любая (важна кровь),,,9.202,47.0,Олег Исаев,27.09.2022,"Общее правило по ""монстрам"": берут на любую наживку/дистанцию, если есть кровь и снасти выдерживают вес"
Рыба Мертвец,Зона 86,Большой живец + кровь + энергетик,,,7.151,120.0,Александр Максимов,28.09.2022,Сложно ловить прицельно — вперемешку клюют другие монстры и сомы
Тень Зоны,,Любая (в примере — сыр),3 м,,65.779,200.0,Олег Исаев,28.09.2022,"Тип ""монстр"": ловится вперемешку при обычной рыбалке с кровью+прикормом (+энергетик, если целевой монстр до 200кг)"
Сом (общая техника),,Блесна (проводка по дну),,,4.003,200.0,Дмитрий Вийтев,25.09.2022,"Обычная техника ловли, без указания конкретной локации; к посту приложен скриншот"
Раптор,Река Амазонка,,,,2.316,12.0,Олег Исаев,01.10.2022,
Каменный призрак (подробно),Каменный берег,Кусок рыбы + универсальная прикормка + кровь,13 м,,30.266,67.0,Иван Ветров,05.10.2022,"Крючок 4.1 (можно 4.2); катушка Toro S (лучше топовая за золото); удилище Power Fox — иначе долго вытягивать; клюёт очень активно: 8 шт. за 18 минут, вперемешку с налимами"
Краснопёрка (доп. вариант),Озеро Вабакими,Муха,5.4 м,,1.566,1.9,Виталий Шевченко,22.11.2022,Для заданий; иногда прилов — щука травянка
Подлещик (доп. вариант),Озеро Кускон,Хлеб,3 м,,1.533,1.55,Виталий Шевченко,22.11.2022,Для заданий; прилова нет
Косатка-Скрипун,Озеро Кускон,Опарыш,3 м,,,,Виталий Шевченко,22.11.2022,Для заданий; прилова нет
Усач Обыкновенный (доп. вариант),Река Клаус,Сверчок,6-9 м,,0.799,11.8,Виталий Шевченко,22.11.2022,Если начал попадаться лопатонос — сменить дистанцию в этом диапазоне
Голавль,Изумрудное озеро,Личинка майского жука,3 м,,8.116,8.2,Юрий Некрасов,04.12.2022,
Глазорвач (общая оценка),,,,,1.418,21.6,Юрий Некрасов,22.11.2022,"Хорошо окупается на фарме (наравне с Песчаным Убийцей и Лезвием), без указания локации"
Песчаный Убийца,,,,,5.949,25.0,Юрий Некрасов,22.11.2022,"Хорошо окупается на фарме, без указания локации"
Лезвие,,,,,4.021,15.0,Юрий Некрасов,22.11.2022,"Хорошо окупается на фарме, без указания локации"
Голавль (доп. вариант),Белые скалы,Кукуруза,,,8.116,8.2,Юрий Некрасов,04.12.2022,
Рыба Капля (пойманный экземпляр 1),Озеро Вабакими,Сыр,,,9.202,47.0,Роман Калачев,11.12.2022,"Удочка за 14500; называет её ""бабайкой""; несколько раз ломала снасти"
Рыба Капля (пойманный экземпляр 2),Озеро Вабакими,Сыр,,,9.202,47.0,Алексей Сергеев,21.12.2022,Поймал 3 штуки на сыр
Амазонский Ламантин,25. Река Амазонка,Кукуруза,3.0 м,882 монет / 242 опыта,61.694,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Американская Палия,41. Река Исикари,Червь,6.6 м,432 монет / 200 опыта,8.023,8.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х; Автор лично поймал экземпляр максимального веса (✔)
Американский сомик,18. Озеро Вабакими,Медведка,3.0 м,256 монет / 47 опыта,2.676,2.8,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Американский Чешуйчатник,25. Река Амазонка,Живец (большой),13.8 м,391 монет / 98 опыта,39.683,40,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.2/3; 6.х; Возможный/неизбежный прилов: Чёрный Кайман
Амия,15. Река Клаус,Личинка Майского Жука,4.3 м,298 монет / 43 опыта,9.433,9.8,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Амур Белый,26. Озеро Тахо,Горох,4.1 м,499 монет / 107 опыта,42.507,44.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Амур Чёрный,24. Река Колорадо,Кусок Рыбы,3.0 м,462 монет / 93 опыта,5.847,32.5,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Аравана Серебристая,25. Река Амазонка,Живец (маленький),5.2 м,177 монет / 66 опыта,6.421,6.6,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Краснобрюхая Пиранья
Арапайма,25. Река Амазонка,Рак,14.3 м,876 монет / 241 опыта,192.108,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3; Возможный/неизбежный прилов: Чёрный Кайман х Хвостокол
Арктический Голец,22. Холодное Озеро,Пиявка,5.4 м,188 монет / 41 опыта,16.268,16.7,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Атлантический Лосось,39. Ледник,Кусок Рыбы,8.7 м,339 монет / 223 опыта,43.4,43.8,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х; Возможный/неизбежный прилов: Стерлядь, х Налим"
Барракуда,32. Пещера Пашабей,Кальмар,9.3 м,442 монет / 121 опыта,51.544,52,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Корифена Большая
Белоглазка,22. Холодное Озеро,Опарыш,3.0 м,81 монет / 19 опыта,0.911,1.5,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Белорыбица,20. Река Таби,Кузнечик,14.2 м,321 монет / 48 опыта,14.817,14.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Белуга,39. Ледник,Лягушка,10.1 м,753 монет / 223 опыта,66.433,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.3; Возможный/неизбежный прилов: Сибирский Осётр, х Севрюга"
Белый Карп,46. Река Ли,Сыр,3.0 м,555 монет / 166 опыта,37.573,38.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Белый Краппи,24. Река Колорадо,Креветка,3.7 м,238 монет / 49 опыта,1.611,2.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Белый Лопатонос,29. Озеро Дайл,Кузнечик,4.0 м,378 монет / 103 опыта,38.689,40,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Берш,06. Затерянное Озеро,Икра,5.0 м,132 монет / 20 опыта,0.986,3.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Большеротый Буффало,28. Озеро Луиз,Личинка Ручейника 7.0 м,Личинка Ручейника 7.0 м,303 монет / 111 опыта,45.784,46.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Большеротый окунь,15. Река Клаус,Живец (средний),8.0 м,321 монет / 42 опыта,11.362,11.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Веслонос,26. Озеро Тахо,Лягушка,8.9 м,336 монет / 116 опыта,74.483,76,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Щука Обыкновенная
Вырезуб,04. Озеро Тихое,Креветка,4.2 м,159 монет / 30 опыта,4.534,6.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Голавль,14. Белые Скалы,Кукуруза,8.4 м,174 монет / 35 опыта,8.116,8.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Горбыль Серебристый,32. Пещера Пашабей,Крабовое Мясо,14.1 м,445 монет / 121 опыта,56.319,57,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х; Возможный/неизбежный прилов: Корифена Большая, х Барракуда, х Скат"
Густера,06. Затерянное Озеро,Кукуруза,3.0 м,58 монет / 13 опыта,1.297,1.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Европейская Ряпушка,24. Река Колорадо,Мотыль,3.4 м,84 монет / 20 опыта,0.31,0.31,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 2.х; Автор лично поймал экземпляр максимального веса (✔)
Елец,36. Залив Кристалино,Червь,5.8 м,165 монет / 37 опыта,0.632,0.65,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 2.х
Ёрш Обыкновенный,01. Озеро Савай,Пиявка,3.0 м,45 монет / 10 опыта,0.23,0.23,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.х; Автор лично поймал экземпляр максимального веса (✔)
Ёрш Полосатый,02. Река Горбыль,Личинка Короеда,3.0 м,49 монет / 9 опыта,0.245,0.25,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.х
Желтощёк,46. Река Ли,Живец (средний),9.3 м,582 монет / 171 опыта,51.281,52.8,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х; 6.х; Возможный/неизбежный прилов: Персидский Осётр
Жерех,08. Озеро Кускон,Личинка Майского Жука,6.0 м,231 монет / 46 опыта,1.181,12.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Зеркальный Карп,20. Река Таби,Кукуруза,5.1 м,375 монет / 73 опыта,17.307,33.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Змееголов,16. Каменный Берег,Живец (маленький),3.0 м,285 монет / 48 опыта,12.925,13.5,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
